pro_img,brand_name,pro_desc,link,price
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f31870_rockshox_reverb_remote_upgrade_kit.jpg,Rockshox,Reverb Remote Upgrade Kit,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-remote-upgrade-kit-105206.html&lgsku=RS802900&rk=9&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=R4dlYYQ%3aa6mr3Yxn&method=and&isort=score&view=grid,76.99
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f33557_rockshox_yari_debonair_boost_forks_27_5_2018.jpg,Rockshox,"Yari RC DebonAir Boost Forks 27.5"" - 2018",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-yari-rc-debonair-boost-forks-275-2018-108259.html&lgsku=RS965700&rk=10&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=YqYPnblFX1kq7gSc&method=and&isort=score&view=grid,525.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f24156_rockshox_reverb_b1_seatpost.jpg,Rockshox,Reverb B1 Seatpost,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-b1-seatpost-90914.html&lgsku=RSP802600-B1&rk=11&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=bclzFxnB4KnPU8F7&method=and&isort=score&view=grid,189.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f16101_rockshox_bluto_rl_solo_air_26_maxlelite_15.jpg,Rockshox,"Bluto RL Solo Air - 26""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-bluto-rl-solo-air-26-73019.html&lgsku=RS8790-Bluto-26&rk=12&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=CCUIoyXM0J5ehdrC&method=and&isort=score&view=grid,569.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f33540_rockshox_revelation_rc_debonair_boost_forks_27_5_2018.jpg,Rockshox,"Revelation RC DebonAir Boost Forks 27.5"" - 2018",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-revelation-rc-debonair-boost-forks-275-2018-108225.html&lgsku=RS965500&rk=13&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=mOXla87XtS-o3doX&method=and&isort=score&view=grid,459.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f48530_rockshox_reverb_seatpost.jpg,RockShox,Reverb Seatpost,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-seatpost-54780.html&lgsku=RSP5065&rk=14&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=KfXemIIvWeJG848s&method=and&isort=score&view=grid,159.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f8774_rock_shox_reverb_hydraulic_hose_kit.jpg,RockShox,Reverb Hydraulic Hose Kit,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-hydraulic-hose-kit-58228.html&lgsku=R5025010&rk=15&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=iYgVL3AncYYuH196&method=and&isort=score&view=grid,22.50
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f22482_rockshox_yari_rc_solo_air_27_5_.jpg,Rockshox,"Yari RC Solo Air - 27.5""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-yari-rc-solo-air-275-88047.html&lgsku=RS9244003-27.5&rk=16&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=mBWGYgFiu04oYpZY&method=and&isort=score&view=grid,419.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f22491_rockshox_pike_rct3_dual_position_26_.jpg,Rockshox,"Pike RCT3 Dual Position - 26""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-pike-rct3-dual-position-26-88070.html&lgsku=RS9229004-26%22&rk=17&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=obQ154iCa8ZgY5cq&method=and&isort=score&view=grid,499.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f8772_rockshox_reverb_hose_barb_for_post_end.jpg,RockShox,Reverb Hose Barb - For Post End,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-hose-barb-for-post-end-58226.html&lgsku=R5022010&rk=18&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=z5X7iOIc1q64Ec0q&method=and&isort=score&view=grid,7.96
